--------- beginning of system
09-17 11:10:23.585  1469  1501 E storaged: getDiskStats failed with result NOT_SUPPORTED and size 0
--------- beginning of main
09-17 11:10:23.669  4945  4945 I appproc : app_process main with argv: /system/bin com.android.commands.input.Input tap 952 795 
09-17 11:10:23.669  4945  4945 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
09-17 11:10:23.672  4945  4945 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:24.814  4961  4961 I su      : type=1400 audit(0.0:1262): avc: denied { connectto } for path=005355504552555345520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 scontext=u:r:shell:s0 tcontext=u:r:su:s0 tclass=unix_stream_socket permissive=1
09-17 11:10:24.814  3856  4964 I chatty  : uid=10065(com.netease.chiji) expire 17 lines
09-17 11:10:24.816  4963  4963 D su      : starting daemon client 2000 0
09-17 11:10:24.821  4965  4965 D su      : connecting client 4961
09-17 11:10:24.827  4968  4968 I chatty  : uid=0(root) expire 4 lines
09-17 11:10:24.839  4970  4970 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.841  4971  4971 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.848  4973  4973 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.851  4976  4976 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.856  4978  4978 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.857  4980  4980 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.861  4981  4981 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.865  4983  4983 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.884  4984  4984 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.888  4986  4986 D su      : client exited 0
09-17 11:10:24.891  4985  4985 I chatty  : uid=0(root) expire 1 line
09-17 11:10:24.932  4982  4982 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:24.935  3856  4969 I chatty  : uid=10065(com.netease.chiji) expire 19 lines
09-17 11:10:24.988  4996  4996 D su      : su invoked.
09-17 11:10:24.990  5004  5004 D su      : su invoked.
09-17 11:10:24.992  5006  5006 D su      : starting daemon client 2000 0
09-17 11:10:24.994  5008  5008 D su      : starting daemon client 2000 0
09-17 11:10:24.997  5007  5007 D su      : su invoked.
09-17 11:10:25.001  5014  5014 D su      : su invoked.
09-17 11:10:25.006  5010  5010 D su      : connecting client 4995
09-17 11:10:25.006  3856  3968 I chatty  : uid=10065(com.netease.chiji) pool-12-thread- expire 630 lines
09-17 11:10:25.009  5015  5015 D su      : starting daemon client 2000 0
09-17 11:10:25.013  5027  5027 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.018  5028  5028 D su      : connecting client 5005
09-17 11:10:25.022  5030  5030 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.023  5012  5012 D su      : connecting client 5003
09-17 11:10:25.030  5024  5024 D su      : starting daemon client 2000 0
09-17 11:10:25.034  5036  5036 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.035  5049  5049 D su      : su invoked.
09-17 11:10:25.038  1559  1573 E memtrack: Couldn't load memtrack module
09-17 11:10:25.038  1559  1573 W android.os.Debug: failed to get memory consumption info: -1
09-17 11:10:25.039  5040  5040 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.040  5056  5056 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.040  5057  5057 D su      : su invoked.
09-17 11:10:25.043  5054  5054 D su      : connecting client 5013
09-17 11:10:25.046  5080  5080 D su      : su invoked.
09-17 11:10:25.046  5072  5072 D su      : su invoked.
09-17 11:10:25.047  5068  5068 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.049  5070  5070 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.050  5064  5064 D su      : starting daemon client 2000 0
09-17 11:10:25.052  5081  5081 D su      : starting daemon client 2000 0
09-17 11:10:25.053  5086  5086 D su      : connecting client 5043
09-17 11:10:25.055  5060  5060 D su      : su invoked.
09-17 11:10:25.061  5089  5089 D su      : connecting client 5062
09-17 11:10:25.062  5095  5095 D su      : starting daemon client 2000 0
09-17 11:10:25.062  5084  5084 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.063  5082  5082 D su      : starting daemon client 2000 0
09-17 11:10:25.063  1905  1905 I chatty  : uid=1000(system) com.android.settings expire 133 lines
09-17 11:10:25.064  5083  5083 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.064  5061  5061 D su      : su invoked.
09-17 11:10:25.066  5104  5104 D su      : connecting client 5079
09-17 11:10:25.066  1559  1796 W SchedPolicy: add_tid_to_cgroup failed to write '1905' (No space left on device); fd=24
09-17 11:10:25.071  5100  5100 D su      : connecting client 5058
09-17 11:10:25.075  5102  5102 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.077  5101  5101 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.078  5091  5091 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.079  5075  5075 D su      : starting daemon client 2000 0
09-17 11:10:25.082  5116  5116 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.083  5108  5108 D su      : starting daemon client 2000 0
09-17 11:10:25.083  5097  5097 D su      : su invoked.
09-17 11:10:25.084  5085  5085 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.086  5106  5106 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.089  5115  5115 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.091  5123  5123 D su      : starting daemon client 2000 0
09-17 11:10:25.091  5113  5113 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.092  5112  5112 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.095  5109  5109 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.095  5124  5124 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.096  5141  5141 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.097  1905  1936 I chatty  : uid=1000(system) RenderThread expire 2 lines
09-17 11:10:25.100  5132  5132 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.100  5133  5133 D su      : su invoked.
09-17 11:10:25.103  5129  5129 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.104  5147  5147 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.107  5145  5145 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.108  5144  5144 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.111  5117  5117 D su      : connecting client 5047
09-17 11:10:25.114  5148  5148 D su      : su invoked.
09-17 11:10:25.114  5149  5149 D su      : starting daemon client 2000 0
09-17 11:10:25.114  5140  5140 D su      : connecting client 5096
09-17 11:10:25.117  5127  5127 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.117  5063  5063 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.118  5120  5120 D su      : connecting client 5059
09-17 11:10:25.120  5158  5158 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.120  5155  5155 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.122  5157  5157 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.123  5138  5138 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.123  5151  5151 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.124  5171  5171 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.125  5160  5160 D su      : su invoked.
09-17 11:10:25.125  5169  5169 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.126  5156  5156 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.127  5164  5164 D su      : su invoked.
09-17 11:10:25.128  5167  5167 D su      : connecting client 5125
09-17 11:10:25.129  5142  5142 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.133  5179  5179 D su      : starting daemon client 2000 0
09-17 11:10:25.134  5177  5177 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.134  5188  5188 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.137  5186  5186 D su      : starting daemon client 2000 0
09-17 11:10:25.138  5165  5165 D su      : starting daemon client 2000 0
09-17 11:10:25.138  5191  5191 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.141  5192  5192 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.141  5163  5163 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.142  5196  5196 D su      : connecting client 5146
09-17 11:10:25.146  5199  5199 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.146  5170  5170 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.146  5189  5189 D su      : connecting client 5159
09-17 11:10:25.151  5180  5180 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.151  5205  5205 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.153  5166  5166 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.154  5182  5182 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.155  5194  5194 D su      : connecting client 5126
09-17 11:10:25.155  5207  5207 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.156  5204  5204 D su      : su invoked.
09-17 11:10:25.157  5178  5178 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.160  5209  5209 D su      : su invoked.
09-17 11:10:25.162  5210  5210 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.163  5176  5176 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.166  5187  5187 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.167  5213  5213 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.170  5212  5212 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.170  5216  5216 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.171  5214  5214 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.172  5215  5215 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.173  5197  5197 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.174  5220  5220 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.174  5225  5225 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.176  5183  5183 D su      : su invoked.
09-17 11:10:25.178  5228  5228 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.180  5234  5234 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.182  5239  5239 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.183  5235  5235 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.186  5237  5237 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.187  5242  5242 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.189  5248  5248 D su      : starting daemon client 2000 0
09-17 11:10:25.191  5238  5238 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.192  5211  5211 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.194  5251  5251 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.196  5243  5243 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.196  5241  5241 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.197  5253  5253 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.197  5245  5245 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.199  5266  5266 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.200  5246  5246 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.201  5217  5217 D su      : starting daemon client 2000 0
09-17 11:10:25.203  5264  5264 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.203  5254  5254 D su      : connecting client 5128
09-17 11:10:25.205  5230  5230 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.206  5271  5271 D su      : connecting client 5203
09-17 11:10:25.206  5256  5256 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.209  5275  5275 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.210  5259  5259 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.210  5274  5274 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.212  5233  5233 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.212  5280  5280 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.213  5265  5265 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.214  5181  5181 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.216  5250  5250 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.217  5223  5223 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.217  5240  5240 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.220  5281  5281 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.223  5277  5277 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.225  5221  5221 D su      : starting daemon client 2000 0
09-17 11:10:25.225  5236  5236 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.226  5219  5219 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.228  5270  5270 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.237  5267  5267 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.238  5257  5257 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.241  1425  1443 W SurfaceFlinger: Attempting to set client state on removed layer: Surface(name=8d99f96 Toast)/@0x65224ed - animation-leash#0
09-17 11:10:25.241  1425  1443 W SurfaceFlinger: Attempting to destroy on removed layer: Surface(name=8d99f96 Toast)/@0x65224ed - animation-leash#0
09-17 11:10:25.244  5303  5303 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.247  5282  5282 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.249  5291  5291 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.250  5261  5261 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.256  5316  5316 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.257  5296  5296 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.257  5283  5283 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.258  5302  5302 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.260  5285  5285 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.263  5293  5293 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.266  5295  5295 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.272  5325  5325 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.273  5318  5318 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.274  5284  5284 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.275  5299  5299 D su      : connecting client 5208
09-17 11:10:25.276  5321  5321 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.280  5315  5315 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.290  5331  5331 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.293  5332  5332 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.294  5329  5329 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.294  5312  5312 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.295  5334  5334 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.297  5320  5320 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.297  5338  5338 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.300  5319  5319 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.306  5337  5337 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.306  5327  5327 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.308  5335  5335 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.308  5328  5328 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.311  5289  5289 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.319  5339  5339 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.322  5347  5347 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.326  5348  5348 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.329  5341  5341 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.332  5343  5343 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.336  5344  5344 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.337  5310  5310 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.337  5311  5311 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.340  5286  5286 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.349  5360  5360 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:25.386  5366  5366 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.394  5362  5362 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.397  5371  5371 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.404  5368  5368 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.412  5375  5375 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.417  5373  5373 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.423  5379  5379 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.435  5383  5383 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.436  5370  5370 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.436  5381  5381 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.437  5380  5380 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.451  5372  5372 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.463  5400  5400 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.470  5386  5386 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.473  5391  5391 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.476  5268  5268 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.480  5398  5398 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.482  5326  5326 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.483  5399  5399 D su      : client exited 1
09-17 11:10:25.486  5387  5387 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.495  5408  5408 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.499  5405  5405 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.502  5410  5410 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.512  5414  5414 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.516  5418  5418 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.518  5406  5406 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.524  5424  5424 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.530  5425  5425 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.534  5431  5431 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.536  5427  5427 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.538  5433  5433 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.539  5435  5435 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.543  5402  5402 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.558  5309  5309 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.572  5206  5206 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.578  5249  5249 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.617  5451  5451 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.622  5457  5457 D su      : client exited 1
09-17 11:10:25.642  5445  5445 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.645  5454  5454 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.648  5469  5469 D su      : client exited 1
09-17 11:10:25.650  5466  5466 D su      : client exited 1
09-17 11:10:25.651  5456  5456 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.655  5463  5463 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.656  5459  5459 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.657  5462  5462 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.659  5467  5467 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.659  5461  5461 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.661  5471  5471 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.661  5464  5464 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.663  5484  5484 D su      : client exited 1
09-17 11:10:25.664  5468  5468 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.665  5485  5485 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.670  5483  5483 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.674  5488  5488 D su      : client exited 1
09-17 11:10:25.699  3856  3874 I chatty  : uid=10065(com.netease.chiji) HeapTaskDaemon expire 1 line
09-17 11:10:25.705  5476  5476 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.709  5473  5473 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.711  5499  5499 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.713  5498  5498 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.714  5309  5497 I chatty  : uid=0(root) /system/bin/app_process expire 2 lines
09-17 11:10:25.717  5496  5496 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.720  5502  5502 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.724  5503  5503 D su      : client exited 1
09-17 11:10:25.726  5500  5500 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.726  5501  5501 D su      : client exited 1
09-17 11:10:25.732  3856  3872 I chatty  : uid=10065(com.netease.chiji) FinalizerDaemon expire 7 lines
09-17 11:10:25.733  5505  5505 D su      : client exited 1
09-17 11:10:25.737  5487  5487 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.741  5504  5504 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.747  5465  5465 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.768  5478  5478 D su      : client exited 1
09-17 11:10:25.778  5474  5474 D su      : client exited 1
09-17 11:10:25.788  5486  5486 D su      : client exited 1
09-17 11:10:25.796  5336  5336 I chatty  : uid=0(root) /system/bin/app_process expire 13 lines
09-17 11:10:25.801  5229  5229 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.810  5475  5475 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.810  5444  5444 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.811  5442  5442 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.811  5477  5477 D su      : client exited 1
09-17 11:10:25.812  5452  5452 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.823  5528  5528 D su      : client exited 1
09-17 11:10:25.834  5524  5524 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.837  5529  5529 D su      : client exited 1
09-17 11:10:25.841  5525  5525 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.846  5522  5522 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.847  5526  5526 D su      : client exited 1
09-17 11:10:25.847  5530  5530 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.851  3856  5531 I chatty  : uid=10065(com.netease.chiji) expire 17 lines
09-17 11:10:25.854  3856  3856 I chatty  : uid=10065(com.netease.chiji) expire 1 line
09-17 11:10:25.867  5532  5532 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.869  5533  5533 D su      : client exited 1
09-17 11:10:25.881  5527  5527 I chatty  : uid=0(root) expire 1 line
09-17 11:10:25.882  5523  5523 D su      : client exited 1
